x0,x1,x2,x3,x4,x5,x_mod_four_0,x_mod_four_1,x_mod_four_2,x_mod_four_3,x_mod_four_4,x_mod_four_5,x0_binary_one_count,x0_binary_zero_count,x0_binary_percent_one,x0_binary_percent_zero,x1_binary_one_count,x1_binary_zero_count,x1_binary_percent_one,x1_binary_percent_zero,x2_binary_one_count,x2_binary_zero_count,x2_binary_percent_one,x2_binary_percent_zero,x3_binary_one_count,x3_binary_zero_count,x3_binary_percent_one,x3_binary_percent_zero,x4_binary_one_count,x4_binary_zero_count,x4_binary_percent_one,x4_binary_percent_zero,x5_binary_one_count,x5_binary_zero_count,x5_binary_percent_one,x5_binary_percent_zero,x_mod_four_0_binary_one_count,x_mod_four_0_binary_zero_count,x_mod_four_0_binary_percent_one,x_mod_four_0_binary_percent_zero,x_mod_four_1_binary_one_count,x_mod_four_1_binary_zero_count,x_mod_four_1_binary_percent_one,x_mod_four_1_binary_percent_zero,x_mod_four_2_binary_one_count,x_mod_four_2_binary_zero_count,x_mod_four_2_binary_percent_one,x_mod_four_2_binary_percent_zero,x_mod_four_3_binary_one_count,x_mod_four_3_binary_zero_count,x_mod_four_3_binary_percent_one,x_mod_four_3_binary_percent_zero,x_mod_four_4_binary_one_count,x_mod_four_4_binary_zero_count,x_mod_four_4_binary_percent_one,x_mod_four_4_binary_percent_zero,x_mod_four_5_binary_one_count,x_mod_four_5_binary_zero_count,x_mod_four_5_binary_percent_one,x_mod_four_5_binary_percent_zero,collatz_average,x_mod_four_average
11.0,34.0,17.0,52.0,26.0,13.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,30.6,1.8
12.0,6.0,3.0,10.0,5.0,16.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,0.0,2.0,0.0,100.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,10.4,1.6
13.0,40.0,20.0,10.0,5.0,16.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,20.8,0.8
14.0,7.0,22.0,11.0,34.0,17.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,25.0,75.0,0.0,3.0,0.0,100.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,21.0,2.6
15.0,46.0,23.0,70.0,35.0,106.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,4.0,0.0,100.0,2.0,4.0,33.33,66.67,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,3.0,4.0,42.86,57.14,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,59.0,3.0
16.0,8.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,7.0,0.6
17.0,52.0,26.0,13.0,40.0,20.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,33.6,0.8
18.0,9.0,28.0,14.0,7.0,22.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,3.0,0.0,100.0,2.0,3.0,40.0,60.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,19.6,2.0
19.0,58.0,29.0,88.0,44.0,22.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,40.0,60.0,2.0,4.0,33.33,66.67,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,52.0,1.6
20.0,10.0,5.0,16.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,12.6,0.6
21.0,64.0,32.0,16.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,40.0,60.0,6.0,1.0,85.71,14.29,5.0,1.0,83.33,16.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,29.0,0.2
22.0,11.0,34.0,17.0,52.0,26.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,32.4,2.0
23.0,70.0,35.0,106.0,53.0,160.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,3.0,4.0,42.86,57.14,2.0,4.0,33.33,66.67,6.0,2.0,75.0,25.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,89.4,2.2
24.0,12.0,6.0,3.0,10.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,0.0,2.0,0.0,100.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,12.0,1.6
25.0,76.0,38.0,19.0,58.0,29.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,40.0,60.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,2.0,4.0,33.33,66.67,1.0,4.0,20.0,80.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,49.0,1.8
26.0,13.0,40.0,20.0,10.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,22.8,1.2
27.0,82.0,41.0,124.0,62.0,31.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,5.0,28.57,71.43,1.0,5.0,16.67,83.33,0.0,5.0,0.0,100.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,73.4,2.2
28.0,14.0,7.0,22.0,11.0,34.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,3.0,0.0,100.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,23.2,2.4
29.0,88.0,44.0,22.0,11.0,34.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,45.6,1.6
30.0,15.0,46.0,23.0,70.0,35.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,20.0,80.0,0.0,4.0,0.0,100.0,2.0,4.0,33.33,66.67,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,43.8,3.0
31.0,94.0,47.0,142.0,71.0,214.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,5.0,0.0,100.0,2.0,5.0,28.57,71.43,1.0,5.0,16.67,83.33,4.0,4.0,50.0,50.0,3.0,4.0,42.86,57.14,3.0,5.0,37.5,62.5,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,119.8,3.0
32.0,16.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,83.33,16.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,12.6,0.6
33.0,100.0,50.0,25.0,76.0,38.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0,66.67,33.33,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,64.4,1.2
34.0,17.0,52.0,26.0,13.0,40.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,36.4,1.2
35.0,106.0,53.0,160.0,80.0,40.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,50.0,50.0,3.0,4.0,42.86,57.14,2.0,4.0,33.33,66.67,6.0,2.0,75.0,25.0,5.0,2.0,71.43,28.57,4.0,2.0,66.67,33.33,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,94.8,1.2
36.0,18.0,9.0,28.0,14.0,7.0,0.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,3.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,22.4,1.6
37.0,112.0,56.0,28.0,14.0,7.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,50.0,50.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,50.8,1.2
38.0,19.0,58.0,29.0,88.0,44.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,2.0,4.0,33.33,66.67,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,55.2,1.6
39.0,118.0,59.0,178.0,89.0,268.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,33.33,66.67,2.0,5.0,28.57,71.43,1.0,5.0,16.67,83.33,4.0,4.0,50.0,50.0,3.0,4.0,42.86,57.14,6.0,3.0,66.67,33.33,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,150.2,2.2
40.0,20.0,10.0,5.0,16.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,19.8,0.6
41.0,124.0,62.0,31.0,94.0,47.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,50.0,50.0,2.0,5.0,28.57,71.43,1.0,5.0,16.67,83.33,0.0,5.0,0.0,100.0,2.0,5.0,28.57,71.43,1.0,5.0,16.67,83.33,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,79.8,2.2
42.0,21.0,64.0,32.0,16.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,6.0,1.0,85.71,14.29,5.0,1.0,83.33,16.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,36.6,0.6
43.0,130.0,65.0,196.0,98.0,49.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,4.0,33.33,66.67,6.0,2.0,75.0,25.0,5.0,2.0,71.43,28.57,5.0,3.0,62.5,37.5,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,116.2,1.8
44.0,22.0,11.0,34.0,17.0,52.0,0.0,2.0,3.0,2.0,1.0,0.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,36.0,1.6
45.0,136.0,68.0,34.0,17.0,52.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,33.33,66.67,6.0,2.0,75.0,25.0,5.0,2.0,71.43,28.57,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,70.4,0.8
46.0,23.0,70.0,35.0,106.0,53.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,33.33,66.67,1.0,4.0,20.0,80.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,3.0,4.0,42.86,57.14,2.0,4.0,33.33,66.67,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,66.6,2.6
47.0,142.0,71.0,214.0,107.0,322.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,16.67,83.33,4.0,4.0,50.0,50.0,3.0,4.0,42.86,57.14,3.0,5.0,37.5,62.5,2.0,5.0,28.57,71.43,6.0,3.0,66.67,33.33,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,180.6,3.0
48.0,24.0,12.0,6.0,3.0,10.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,0.0,2.0,0.0,100.0,2.0,2.0,50.0,50.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,20.6,1.4
49.0,148.0,74.0,37.0,112.0,56.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,50.0,50.0,5.0,3.0,62.5,37.5,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,95.2,0.8
50.0,25.0,76.0,38.0,19.0,58.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,4.0,3.0,57.14,42.86,3.0,3.0,50.0,50.0,2.0,3.0,40.0,60.0,2.0,4.0,33.33,66.67,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,53.2,2.0
